"NDC11","HICSEQNO","ReportedInactiveID","Note"
"00002080001","018822",170,""
"00002121030","001539",22,""
"00002121050","001539",22,""
"00002143301","002272",28,""
"00002143301","002332",46,""
"00002143301","002551",168,""
"00002143361","002272",28,""
"00002143361","002332",46,""
"00002143361","002551",168,""
"00002143380","002272",28,""
"00002143380","002332",46,""
"00002143380","002551",168,""
"00002143401","002272",28,""
"00002143401","002332",46,""
"00002143401","002551",168,""
"00002143480","002272",28,""
"00002143480","002332",46,""
"00002143480","002551",168,""
"00002143601","002551",168,""
"00002143611","002551",168,""
"00002144501","002551",168,""
"00002144501","002598",83,""
"00002144509","002551",168,""
"00002144509","002598",83,""
"00002144511","002551",168,""
"00002144511","002598",83,""
"00002144527","002551",168,""
"00002144527","002598",83,""
"00002145701","",0,"No Inactive Ingredients Reported"
"00002145780","",0,"No Inactive Ingredients Reported"
"00002146001","",0,"No Inactive Ingredients Reported"
"00002146080","",0,"No Inactive Ingredients Reported"
"00002147101","",0,"No Inactive Ingredients Reported"
"00002147180","",0,"No Inactive Ingredients Reported"
"00002148401","",0,"No Inactive Ingredients Reported"
"00002148480","",0,"No Inactive Ingredients Reported"
"00002149501","",0,"No Inactive Ingredients Reported"
"00002149580","",0,"No Inactive Ingredients Reported"
"00002150601","",0,"No Inactive Ingredients Reported"
"00002150680","",0,"No Inactive Ingredients Reported"
"00002223601","002272",28,""
"00002223601","002332",46,""
"00002223601","002551",168,""
"00002223680","002272",28,""
"00002223680","002332",46,""
"00002223680","002551",168,""
"00002237701","002551",168,""
"00002237711","002551",168,""
"00002298026","002549",98,""
"00002298026","010138",14,""
"00002298060","002549",98,""
"00002298060","010138",14,""
"00002311501","002551",168,""
"00002311509","002551",168,""
"00002318201","002272",28,""
"00002318201","002332",46,""
"00002318201","002551",168,""
"00002318280","002272",28,""
"00002318280","002332",46,""
"00002318280","002551",168,""
"00002322730","002549",98,""
"00002322830","002549",98,""
"00002322830","010138",14,""
"00002322930","002549",98,""
"00002322930","010138",14,""
"00002323030","002549",98,""
"00002323130","002549",98,""
"00002323560","002549",98,""
"00002323560","002598",83,""
"00002323560","010138",14,""
"00002323830","002549",98,""
"00002323930","002549",98,""
"00002323930","010138",14,""
"00002324030","002549",98,""
"00002324030","002598",83,""
"00002324030","010138",14,""
"00002324090","002549",98,""
"00002324090","002598",83,""
"00002324090","010138",14,""
"00002325030","002549",98,""
"00002325130","002549",98,""
"00002327030","002549",98,""
"00002327030","002598",83,""
"00002327030","010138",14,""
"00002397760","002549",98,""
"00002411230","002432",24,""
"00002411230","002537",169,""
"00002411530","002432",24,""
"00002411530","002537",169,""
"00002411630","002432",24,""
"00002411630","002537",169,""
"00002411730","002432",24,""
"00002411730","002537",169,""
"00002418230","002272",28,""
"00002418230","013405",52,""
"00002418430","002432",24,""
"00002418430","002537",169,""
"00002418430","010138",14,""
"00002431208","",0,"No Inactive Ingredients Reported"
"00002441530","002432",24,""
"00002441530","002537",169,""
