"ReportedInactiveID","ReportedInactiveDescription","FDB_HICSEQNO","FDB_HICDDESC","Frequency","GroupNumber","GroupDescription","Discussion"
1,"Derived from beef (bovine)",9283,"beef derived (bovine)",172,4,"Foreign Substances (Contaminants)","Substances in this group are not typically identified as ingredients and require review of all occurrences for context clues in all narrative text."
2,"Derived from fish (piscine)",9278,"fish derived",40,4,"Foreign Substances (Contaminants)","Substances in this group are not typically identified as ingredients and require review of all occurrences for context clues in all narrative text."
3,"Derived from pork (porcine)",9277,"pork derived (porcine)",58,4,"Foreign Substances (Contaminants)","Substances in this group are not typically identified as ingredients and require review of all occurrences for context clues in all narrative text."
4,"Derived from shellfish",11754,"shellfish derived",29,4,"Foreign Substances (Contaminants)","Substances in this group are not typically identified as ingredients and require review of all occurrences for context clues in all narrative text."
5,"Annatto",7286,"annatto",8,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
6,"Aspartame",2605,"aspartame",699,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
8,"Benzalkonium Chloride",3141,"benzalkonium chloride",802,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
9,"Benzethonium Chloride",3142,"benzethonium chloride",50,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
10,"Benzyl Alcohol",3192,"benzyl alcohol",1688,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
13,"Cremophor El",9290,"cremophor el (poly.castor oil)",514,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
14,"Dye, Blue",10138,"blue dye",9554,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
15,"Dye, Red",10141,"red dye",6799,1,"Basic Ingredients","Substances in this group are typically identified as ingredients in the common sense of the word. They are generally found in the structured ingredient lists in the Data Elements Section of the SPL with a description and UNIICode, making them simple to find and evaluate.  These also appear in the narrative descriptive sections of the SPL, but spelling frequently differs from the UNII Code description.  Both sources, the structured and unstructured content, are evaluated to extract inactive ingredients, and in general the union of both are reported when they do not agree."
