"ReportedInactiveID","Alias","AliasType"
1,"01UIN5OC49","UNII"
1,"07RIK6QMEW","UNII"
1,"1T8387508X","UNII"
1,"27432CM55Q","UNII"
1,"4PIB2155QP","UNII"
1,"5U9XZ261ER","UNII"
1,"5WE8P977RQ","UNII"
1,"6IC1M3OG5Z","UNII"
1,"8QTV3DTT8W","UNII"
1,"A7JR5F8DLH","UNII"
1,"AE-BEEF","SYN"
1,"AE-BEER","SYN"
1,"ALBUMIN BOVINE","PT"
1,"ALLERGENIC EXTRACT- BEEF","SYN"
1,"ALLERGENIC EXTRACT- BEEF BOVINE SPP","SYN"
1,"BEEF","PT"
1,"BEEF ALLERGENIC EXTRACT","SYN"
1,"BEEF GELATIN","SYN"
1,"BIOTEIN E 10","SYN"
1,"BIOTEIN E-10","SYN"
1,"BIOTEIN E10 HYDROLYZED ELASTIN","SYN"
1,"BOS BOVIS FLESH","SYN"
1,"BOS PRIMIGENIUS TAURUS FLESH","SYN"
1,"BOS TAURUS FLESH","SYN"
1,"BOS TAURUS MUSCLE","SYN"
1,"BOVINE ALBUMIN","SYN"
1,"BOVINE FLESH","SYN"
1,"BOVINE SERUM ALBUMIN","SYN"
1,"BOVINE TYPE I COLLAGEN","PT"
1,"BSA","SYN"
1,"BSA FOR PROTEIN QUANTITATION","SYN"
1,"CHONDROITIN 4-SULFATE DISODIUM SALT","SYN"
1,"CHONDROITIN SULFATE (BOVINE)","PT"
1,"CHONDROITIN SULFATE A SODIUM SALT FROM BOVINE TRACHEA","SYN"
1,"CHONDROITIN SULFATE SODIUM (BOVINE)","PT"
1,"COLLAGEN TYPE I BOVINE","SYN"
1,"COW FLESH","SYN"
1,"F5AJW0ONK4","UNII"
1,"FHJ3ATL51C","UNII"
1,"FRACTION V","SYN"
1,"GELATIN 150 BLOOM","SYN"
1,"GELATIN 160 BLOOM","SYN"
1,"GELATIN 200 BLOOM","SYN"
1,"GELATIN BEEF","SYN"
1,"GELATIN BOVINE","SYN"
1,"GELATIN TYPE B BOVINE (150 BLOOM)","PT"
1,"GELATIN TYPE B BOVINE (160 BLOOM)","PT"
1,"GELATIN TYPE B BOVINE (200 BLOOM)","PT"
1,"GELATIN TYPE B BOVINE (230 BLOOM)","PT"
1,"HW3H7D91F6","UNII"
1,"HYDROLYSED BOVINE COLLAGEN (ENZYMATIC; 3500 MW)","PT"
1,"HYDROLYZED BOVINE ELASTIN (BASE; 1000 MW)","PT"
1,"HYDROLYZED ELASTIN","SYN"
1,"KNOX GELATIN","SYN"
1,"LACTOPEROXIDASE BOVINE","PT"
1,"PEGADEMASE BOVINE","PT"
1,"PEG-ADENOSINE DEAMINASE","SYN"
1,"ROUSSELOT 150 LB","SYN"
1,"ROUSSELOT 160 LB","SYN"
1,"ROUSSELOT 200 LB","SYN"
1,"SERUM ALBUMIN BOVINE","SYN"
1,"SODIUM TALLOWATE, BEEF","PT"
1,"TALLOW ACID","SYN"
1,"TALLOW ACID, BEEF","PT"
1,"TALLOW FATTY ACIDS","SYN"
1,"TALLOW SODIUM SALT","SYN"
1,"WIL1404U79","UNII"
1,"ZR28QKN0WT","UNII"
2,"1PIO77PW2X","UNII"
2,"8JC99XGU4W","UNII"
2,"AE-TUNA","SYN"
2,"AHQ60JKI5D","UNII"
2,"ALLERGENIC EXTRACT- TUNA THUNNUS SP","SYN"
2,"BONY FISH FLESH","SYN"
2,"FISH","SYN"
2,"FISH GELATIN","SYN"
2,"FISH OIL","PT"
2,"FISH OILS","SYN"
2,"FISH, UNSPECIFIED","PT"
2,"HIGH MOLECULAR WEIGHT FISH GELATIN","SYN"
2,"JSM64OJO9B","UNII"
2,"MARINE COLLAGEN, SOLUBLE","PT"
2,"MARINE NON-GELLING GELATIN","PT"
2,"MARINE NON-GELLING GELATIN, HIGH MW","PT"
2,"MINCED FISH","SYN"
2,"OMEGA-3 FISH OIL","SYN"
2,"TUNA","SYN"
2,"TUNA ALLERGENIC EXTRACT","SYN"
2,"TUNA PREPARATION","SYN"
2,"TUNA, UNSPECIFIED","PT"
2,"V2T3IHT3E2","UNII"
2,"XGF7L72M0F","UNII"
3,"0K9R94573C","UNII"
3,"6RV024OAUQ","UNII"
3,"7Z075S9991","UNII"
3,"AE-PORK","SYN"
3,"ALLERGENIC EXTRACT- PORK SUS SP","SYN"
3,"ARMOUR THYROID","SYN"
3,"COLLAGEN PORCINE","SYN"
3,"GELATIN HYDROLYZATE (PORCINE SKIN, MW 3000)","PT"
3,"GELATIN TYPE A PORCINE","SYN"
3,"GELATIN TYPE A PORCINE (160 BLOOM)","PT"
3,"GELATIN TYPE A PORCINE 160 BLOOM","SYN"
3,"GLANDULA THYREOIDEA SUIS","SYN"
3,"HOG FLESH","SYN"
3,"I8442U2G7J","UNII"
3,"O138UB266J","UNII"
3,"PERMACOL","SYN"
3,"PIG FLESH","SYN"
3,"PIG MEAT","SYN"
3,"PIG THYROID","SYN"
3,"PORCINE FLESH","SYN"
3,"PORCINE THYROID","SYN"
3,"PORK","PT"
3,"PORK ALLERGENIC EXTRACT","SYN"
3,"PORK COLLAGEN","PT"
3,"PORK THYROID","SYN"
3,"SUS SCROFA COLLAGEN","SYN"
3,"SUS SCROFA FLESH","SYN"
3,"SUS SCROFA MUSCLE","SYN"
3,"SUS SCROFA SKIN GELATIN","SYN"
3,"SUS SCROFA THYROID","SYN"
3,"SWINE FLESH","SYN"
3,"THYREOIDEA SUIS","SYN"
3,"THYROID, PORCINE","PT"
3,"THYROIDINUM SUIS","SYN"
3,"WILD BOAR FLESH","SYN"
4,"0I77C68AWS","UNII"
4,"2E32821G6I","UNII"
4,"AMERICAN CUPPED OYSTER FLESH","SYN"
4,"BLUE POINT OYSTER FLESH","SYN"
4,"CALCAREA CARBONICA","SYN"
4,"CORAL CALCIUM","SYN"
4,"CRASSOSTREA BRASILIANA FLESH","SYN"
4,"CRASSOSTREA FLORIDENSIS FLESH","SYN"
4,"CRASSOSTREA VIRGINICA FLESH","SYN"
4,"CRASSOSTREA VIRGINICA MUSCLE","SYN"
4,"EASTERN OYSTER","PT"
4,"EASTERN OYSTER FLESH","SYN"
4,"OYSTER SHELL CALCIUM CARBONATE, CRUDE","PT"
5,"6PQP1V1B6O","UNII"
5,"ANNATTO","PT"
5,"ANNATTO A 640","SYN"
5,"ANNATTO E","SYN"
5,"ANNATTO EXTRACT","SYN"
5,"ANNATTO EXTRACTS","SYN"
5,"ANNOTTA","SYN"
5,"BIXA ORELLANA SEED CAROTENOIDS","SYN"
5,"C ORANGE 12","SYN"
5,"C.I. 75120","SYN"
5,"C.I. NATURAL ORANGE 4","SYN"
5,"CI 75120","SYN"
5,"E 160B","SYN"
5,"L. ORANGE","SYN"
5,"ORLEAN","SYN"
5,"SAN ANNATTO 2380","SYN"
5,"TERRE ORELLANA","SYN"
6,"APM-ACE","SYN"
6,"ASPARTAME","PT"
6,"ASPARTAME ACESULFAME","PT"
6,"ASPARTAME-ACESULFAME SALT","SYN"
6,"IFE6C6BS24","UNII"
6,"INS NO.951","SYN"
6,"INS-951","SYN"
6,"METHYL ASPARTYLPHENYLALANATE","SYN"
6,"NUTRASWEET","SYN"
6,"PAL SWEET","SYN"
6,"SALT OF ASPARTAME-ACESULFAME","SYN"
6,"SLADEX","SYN"
6,"TWINSWEET","SYN"
6,"TWINSWEET LA","SYN"
6,"Z0H242BBR1","UNII"
6,"ZERO-CAL","SYN"
8,"ALKYL DIMETHYL BENZYL AMMONIUM CHLORIDE","SYN"
8,"ALKYLBENZYLDIMETHYLAMMONIUM CHLORIDE","SYN"
8,"ALPAGELLE","SYN"
8,"BENZALKONIUM CHLORIDE","PT"
8,"BKC","SYN"
8,"F5UM2KM3W7","UNII"
8,"HYAMINE 3500","SYN"
8,"PENTONIUM","SYN"
8,"ROCCAL","SYN"
8,"ZEPHIRAN","SYN"
8,"BENZALKONIUM CHLORIDE SOLUTION","NEW"
8,"benzalkonium chloride 0.01%","NEW"
9,"BENZETHONIUM CHLORIDE","PT"
9,"HYAMINE","SYN"
9,"NEOSTELIN GREEN","SYN"
9,"PH41D05744","UNII"
9,"PHEMEROL","SYN"
9,"PHEMEROL CHLORIDE","SYN"
10,".ALPHA.-HYDROXYTOLUENE","SYN"
10,"1NKX3648J9","UNII"
10,"BENZENEMETHANOL","SYN"
10,"BENZYL ALCOHOL","PT"
10,"DICHLOROBENZYL ALCOHOL","PT"
10,"DYBENAL","SYN"
10,"LKG8494WBH","UNII"
10,"PHENYLCARBINOL","SYN"
10,"RAPIDOSEPT","SYN"
10,"ULESFIA","SYN"
13,"02NG325BQG","UNII"
13,"0WZF1506N9","UNII"
13,"0ZNO9PJJ9J","UNII"
13,"4ERD2076EF","UNII"
13,"6D4M1DAL6O","UNII"
13,"7YC686GQ8F","UNII"
13,"AEC PEG-25 HYDROGENATED CASTOR OIL","SYN"
13,"ALKAMULS EL-620","SYN"
13,"ALPICARE CO 36","SYN"
13,"ALPICARE CO 40","SYN"
13,"ARLATONE 289","SYN"
13,"ARLATONE G","SYN"
13,"CASTOR OIL HYDROGENATED","SYN"
13,"CASTOR OIL","NEW"
13,"CASTOR WAX","SYN"
13,"CASTORWAX","SYN"
13,"CHEMAX CO-30","SYN"
13,"CHEMAX CO-36","SYN"
13,"CHEMAX CO-40","SYN"
13,"CHEMAX HCO-25","SYN"
13,"CREMOPHOR EL","SYN"
13,"CREMOPHOR RH 40","SYN"
13,"CREMOPHOR RH 410","SYN"
13,"CREMOPHOR RH 60","SYN"
13,"CREMOPHOR RH40","SYN"
13,"CRODURET 25","SYN"
13,"CRODURET 40","SYN"
13,"CRODURET 54","SYN"
13,"CRODURET 60","SYN"
13,"CUSTOMULSE HCO-25","SYN"
13,"EMULPHOR EL-620","SYN"
13,"EMULPHOR EL-719","SYN"
13,"ETHOX CO-30","SYN"
13,"ETHOX CO-36","SYN"
13,"ETHOX CO-40","SYN"
13,"ETHOX HCO-25","SYN"
13,"ETOCAS 30","SYN"
13,"ETOCAS 35","SYN"
13,"EUMULGIN RO 35","SYN"
13,"FANCOL CO-30","SYN"
13,"GF873K38RZ","UNII"
13,"HETOXIDE C-30","SYN"
13,"HETOXIDE C-36","SYN"
