Group,Name,FDB_HICDDESC,ReportedInactiveID,Include,Exclude,Include_ori,Exclude_ori
2,Apricot kernel oil,apricot kernel oil,162,vaginal formulations,topicals applied outside the vagina,vaginal formulations,topicals applied outside the vagina
2,Corn Syrup,corn syrup,87,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Cottonseed Oil,cottonseed oil,164,vaginal formulations,,vaginal formulations,
2,Dextrose,dextrose,73,systemic formulations (example: oral route),"non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Erythritol,Erythritol,91,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Fructose,fructose,84,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Inverted Sugar,Inverted Sugar,93,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Isomalt,Isomalt,95,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Lactitol,Lactitol,97,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
2,Maltitol,Maltitol,90,"systemic formulations (like: Buccal, Implant, Inhalation, Injection, Intraarterial, Intraarticular, Intradermal, Intramuscular, Intraocular, Intrauterine, Intrathecal, Intravenous, Intravesical, Mucous Membrane, Nasal, Oral, Rectal, Subcutaneous, Sublingual, Transdermal, Translingual, Vaginal)","non-systemic formulations (like Topical, Otic, Ophthalmic, Dental, Epidural, Intracavernosal, Intraperitoneal, Irrigation, Perfusion, Urethral)",systemic formulations,non-systemic formulations
